uts,value,time
1605098402,89,2020/11/11 12:40
1605098405,89,2020/11/11 12:40
1605098408,89,2020/11/11 12:40
1605098411,89,2020/11/11 12:40
1605098413,90,2020/11/11 12:40
1605098416,90,2020/11/11 12:40
1605098419,90,2020/11/11 12:40
1605098422,90,2020/11/11 12:40
1605098425,90,2020/11/11 12:40
1605098428,90,2020/11/11 12:40
1605098431,90,2020/11/11 12:40
1605098434,91,2020/11/11 12:40
1605098437,91,2020/11/11 12:40
1605098438,92,2020/11/11 12:40
1605098440,91,2020/11/11 12:40
1605098443,91,2020/11/11 12:40
1605098444,91,2020/11/11 12:40
1605098447,91,2020/11/11 12:40
1605098450,91,2020/11/11 12:40
1605098453,91,2020/11/11 12:40
1605098456,91,2020/11/11 12:40
1605098457,92,2020/11/11 12:40
1605098458,92,2020/11/11 12:40
1605098461,93,2020/11/11 12:41
1605098463,92,2020/11/11 12:41
1605098466,92,2020/11/11 12:41
1605098469,92,2020/11/11 12:41
1605098472,92,2020/11/11 12:41
1605098475,92,2020/11/11 12:41
1605098478,92,2020/11/11 12:41
1605098481,92,2020/11/11 12:41
1605098484,92,2020/11/11 12:41
1605098487,93,2020/11/11 12:41
1605098490,93,2020/11/11 12:41
1605098493,93,2020/11/11 12:41
1605098496,93,2020/11/11 12:41
1605098499,92,2020/11/11 12:41
1605098502,92,2020/11/11 12:41
1605098505,91,2020/11/11 12:41
1605098508,91,2020/11/11 12:41
1605098509,90,2020/11/11 12:41
1605098512,90,2020/11/11 12:41
1605098515,90,2020/11/11 12:41
1605098518,90,2020/11/11 12:41
1605098521,90,2020/11/11 12:42
1605098524,90,2020/11/11 12:42
1605098527,90,2020/11/11 12:42
1605098530,90,2020/11/11 12:42
1605098531,90,2020/11/11 12:42
1605098532,90,2020/11/11 12:42
1605098535,90,2020/11/11 12:42
1605098538,90,2020/11/11 12:42
1605098541,90,2020/11/11 12:42
1605098544,90,2020/11/11 12:42
1605098547,90,2020/11/11 12:42
1605098550,90,2020/11/11 12:42
1605098553,90,2020/11/11 12:42
1605098556,90,2020/11/11 12:42
1605098559,90,2020/11/11 12:42
1605098560,89,2020/11/11 12:42
1605098563,89,2020/11/11 12:42
1605098564,88,2020/11/11 12:42
1605098565,87,2020/11/11 12:42
1605098568,86,2020/11/11 12:42
1605098570,85,2020/11/11 12:42
1605098573,85,2020/11/11 12:42
1605098576,85,2020/11/11 12:42
1605098579,85,2020/11/11 12:42
1605098581,84,2020/11/11 12:43
1605098582,83,2020/11/11 12:43
1605098583,82,2020/11/11 12:43
1605098586,82,2020/11/11 12:43
1605098589,82,2020/11/11 12:43
1605098592,82,2020/11/11 12:43
1605098595,82,2020/11/11 12:43
1605098598,82,2020/11/11 12:43
1605098599,82,2020/11/11 12:43
1605098602,82,2020/11/11 12:43
1605098603,83,2020/11/11 12:43
1605098606,83,2020/11/11 12:43
1605098609,83,2020/11/11 12:43
1605098611,84,2020/11/11 12:43
1605098613,85,2020/11/11 12:43
1605098615,86,2020/11/11 12:43
1605098616,87,2020/11/11 12:43
1605098619,86,2020/11/11 12:43
1605098622,86,2020/11/11 12:43
1605098625,86,2020/11/11 12:43
1605098626,85,2020/11/11 12:43
1605098629,85,2020/11/11 12:43
1605098632,84,2020/11/11 12:43
1605098635,84,2020/11/11 12:43
1605098636,83,2020/11/11 12:43
1605098638,82,2020/11/11 12:43
1605098639,81,2020/11/11 12:43
1605098640,80,2020/11/11 12:44
1605098641,79,2020/11/11 12:44
1605098643,78,2020/11/11 12:44
1605098645,78,2020/11/11 12:44
1605098648,78,2020/11/11 12:44
1605098651,78,2020/11/11 12:44
1605098654,78,2020/11/11 12:44
1605098655,78,2020/11/11 12:44
1605098656,78,2020/11/11 12:44
1605098659,78,2020/11/11 12:44
1605098662,78,2020/11/11 12:44
1605098665,78,2020/11/11 12:44
1605098668,78,2020/11/11 12:44
1605098671,78,2020/11/11 12:44
1605098674,78,2020/11/11 12:44
1605098677,78,2020/11/11 12:44
1605098680,78,2020/11/11 12:44
1605098683,78,2020/11/11 12:44
1605098684,78,2020/11/11 12:44
1605098687,78,2020/11/11 12:44
1605098690,78,2020/11/11 12:44
1605098691,78,2020/11/11 12:44
1605098694,78,2020/11/11 12:44
1605098697,78,2020/11/11 12:44
1605098698,78,2020/11/11 12:44
1605098701,78,2020/11/11 12:45
1605098704,78,2020/11/11 12:45
1605098707,79,2020/11/11 12:45
1605098708,78,2020/11/11 12:45
1605098711,78,2020/11/11 12:45
1605098714,78,2020/11/11 12:45
1605098717,77,2020/11/11 12:45
1605098720,77,2020/11/11 12:45
1605098723,77,2020/11/11 12:45
1605098726,77,2020/11/11 12:45
1605098727,77,2020/11/11 12:45
1605098730,77,2020/11/11 12:45
1605098733,77,2020/11/11 12:45
1605098736,77,2020/11/11 12:45
1605098739,77,2020/11/11 12:45
1605098742,77,2020/11/11 12:45
1605098745,77,2020/11/11 12:45
1605098748,77,2020/11/11 12:45
1605098751,77,2020/11/11 12:45
1605098754,77,2020/11/11 12:45
1605098757,77,2020/11/11 12:45
1605098760,77,2020/11/11 12:46
1605098763,77,2020/11/11 12:46
1605098766,77,2020/11/11 12:46
1605098769,77,2020/11/11 12:46
1605098772,77,2020/11/11 12:46
1605098775,77,2020/11/11 12:46
1605098778,78,2020/11/11 12:46
1605098781,78,2020/11/11 12:46
1605098784,78,2020/11/11 12:46
1605098785,77,2020/11/11 12:46
1605098787,76,2020/11/11 12:46
1605098790,75,2020/11/11 12:46
1605098791,75,2020/11/11 12:46
1605098793,75,2020/11/11 12:46
1605098795,74,2020/11/11 12:46
1605098798,74,2020/11/11 12:46
1605098799,74,2020/11/11 12:46
1605098802,74,2020/11/11 12:46
1605098805,74,2020/11/11 12:46
1605098808,74,2020/11/11 12:46
1605098809,75,2020/11/11 12:46
1605098811,76,2020/11/11 12:46
1605098812,77,2020/11/11 12:46
1605098815,77,2020/11/11 12:46
1605098818,77,2020/11/11 12:46
1605098821,77,2020/11/11 12:47
1605098824,77,2020/11/11 12:47
1605098826,76,2020/11/11 12:47
1605098829,77,2020/11/11 12:47
1605098831,78,2020/11/11 12:47
1605098834,78,2020/11/11 12:47
1605098837,78,2020/11/11 12:47
1605098838,79,2020/11/11 12:47
1605098840,78,2020/11/11 12:47
1605098841,77,2020/11/11 12:47
1605098842,78,2020/11/11 12:47
1605098845,78,2020/11/11 12:47
1605098848,77,2020/11/11 12:47
1605098851,77,2020/11/11 12:47
1605098852,76,2020/11/11 12:47
1605098855,76,2020/11/11 12:47
1605098858,76,2020/11/11 12:47
1605098859,75,2020/11/11 12:47
1605098860,75,2020/11/11 12:47
1605098863,75,2020/11/11 12:47
1605098866,75,2020/11/11 12:47
1605098869,75,2020/11/11 12:47
1605098870,74,2020/11/11 12:47
1605098873,74,2020/11/11 12:47
1605098874,75,2020/11/11 12:47
1605098877,76,2020/11/11 12:47
1605098880,76,2020/11/11 12:48
1605098881,77,2020/11/11 12:48
1605098882,78,2020/11/11 12:48
1605098883,79,2020/11/11 12:48
1605098886,79,2020/11/11 12:48
1605098889,79,2020/11/11 12:48
1605098892,79,2020/11/11 12:48
1605098895,80,2020/11/11 12:48
1605098896,79,2020/11/11 12:48
1605098899,79,2020/11/11 12:48
1605098902,79,2020/11/11 12:48
1605098905,79,2020/11/11 12:48
1605098908,80,2020/11/11 12:48
1605098909,81,2020/11/11 12:48
1605098910,82,2020/11/11 12:48
1605098911,85,2020/11/11 12:48
1605098912,85,2020/11/11 12:48
1605098915,86,2020/11/11 12:48
1605098918,86,2020/11/11 12:48
1605098919,87,2020/11/11 12:48
1605098922,87,2020/11/11 12:48
1605098925,87,2020/11/11 12:48
1605098928,87,2020/11/11 12:48
1605098931,87,2020/11/11 12:48
1605098934,87,2020/11/11 12:48
1605098937,87,2020/11/11 12:48
1605098940,87,2020/11/11 12:49
1605098943,87,2020/11/11 12:49
1605098946,87,2020/11/11 12:49
1605098949,87,2020/11/11 12:49
1605098952,87,2020/11/11 12:49
1605098954,88,2020/11/11 12:49
1605098957,88,2020/11/11 12:49
1605098959,91,2020/11/11 12:49
1605098960,92,2020/11/11 12:49
1605098961,92,2020/11/11 12:49
1605098964,92,2020/11/11 12:49
1605098967,92,2020/11/11 12:49
1605098970,92,2020/11/11 12:49
1605098973,92,2020/11/11 12:49
1605098976,92,2020/11/11 12:49
1605098979,92,2020/11/11 12:49
1605098982,92,2020/11/11 12:49
1605098985,92,2020/11/11 12:49
1605098988,92,2020/11/11 12:49
1605098991,92,2020/11/11 12:49
1605098992,92,2020/11/11 12:49
1605098994,91,2020/11/11 12:49
1605098996,90,2020/11/11 12:49
1605098999,89,2020/11/11 12:49
1605099002,89,2020/11/11 12:50
1605099005,89,2020/11/11 12:50
1605099008,89,2020/11/11 12:50
1605099011,88,2020/11/11 12:50
1605099014,88,2020/11/11 12:50
1605099017,88,2020/11/11 12:50
1605099018,89,2020/11/11 12:50
1605099019,90,2020/11/11 12:50
1605099022,90,2020/11/11 12:50
1605099025,90,2020/11/11 12:50
1605099028,90,2020/11/11 12:50
1605099031,90,2020/11/11 12:50
1605099034,90,2020/11/11 12:50
1605099037,90,2020/11/11 12:50
1605099040,89,2020/11/11 12:50
1605099043,89,2020/11/11 12:50
1605099044,88,2020/11/11 12:50
1605099045,89,2020/11/11 12:50
1605099048,89,2020/11/11 12:50
1605099051,89,2020/11/11 12:50
1605099054,88,2020/11/11 12:50
1605099057,88,2020/11/11 12:50
1605099060,88,2020/11/11 12:51
1605099061,88,2020/11/11 12:51
1605099064,88,2020/11/11 12:51
1605099067,88,2020/11/11 12:51
1605099070,89,2020/11/11 12:51
1605099073,90,2020/11/11 12:51
1605099075,89,2020/11/11 12:51
1605099078,90,2020/11/11 12:51
1605099081,89,2020/11/11 12:51
1605099084,89,2020/11/11 12:51
1605099087,89,2020/11/11 12:51
1605099088,90,2020/11/11 12:51
1605099091,89,2020/11/11 12:51
1605099092,90,2020/11/11 12:51
1605099093,89,2020/11/11 12:51
1605099096,89,2020/11/11 12:51
1605099099,89,2020/11/11 12:51
1605099102,89,2020/11/11 12:51
1605099105,89,2020/11/11 12:51
1605099108,89,2020/11/11 12:51
1605099111,89,2020/11/11 12:51
1605099114,89,2020/11/11 12:51
1605099117,89,2020/11/11 12:51
1605099119,90,2020/11/11 12:51
1605099122,90,2020/11/11 12:52
1605099125,90,2020/11/11 12:52
1605099128,90,2020/11/11 12:52
1605099131,90,2020/11/11 12:52
1605099132,89,2020/11/11 12:52
1605099133,90,2020/11/11 12:52
1605099134,89,2020/11/11 12:52
1605099135,90,2020/11/11 12:52
1605099138,90,2020/11/11 12:52
1605099141,90,2020/11/11 12:52
1605099144,90,2020/11/11 12:52
1605099147,90,2020/11/11 12:52
1605099149,89,2020/11/11 12:52
1605099151,90,2020/11/11 12:52
1605099154,90,2020/11/11 12:52
1605099157,90,2020/11/11 12:52
1605099160,90,2020/11/11 12:52
1605099163,90,2020/11/11 12:52
1605099166,90,2020/11/11 12:52
1605099169,89,2020/11/11 12:52
1605099172,89,2020/11/11 12:52
1605099175,89,2020/11/11 12:52
1605099177,90,2020/11/11 12:52
1605099178,89,2020/11/11 12:52
1605099181,88,2020/11/11 12:53
1605099184,89,2020/11/11 12:53
1605099186,90,2020/11/11 12:53
1605099189,90,2020/11/11 12:53
1605099191,90,2020/11/11 12:53
1605099192,91,2020/11/11 12:53
1605099195,91,2020/11/11 12:53
1605099196,91,2020/11/11 12:53
1605099198,91,2020/11/11 12:53
1605099201,91,2020/11/11 12:53
1605099204,90,2020/11/11 12:53
1605099207,90,2020/11/11 12:53
1605099209,89,2020/11/11 12:53
1605099211,88,2020/11/11 12:53
1605099212,87,2020/11/11 12:53
1605099215,87,2020/11/11 12:53
1605099216,88,2020/11/11 12:53
1605099219,89,2020/11/11 12:53
1605099222,90,2020/11/11 12:53
1605099225,90,2020/11/11 12:53
1605099228,90,2020/11/11 12:53
1605099231,90,2020/11/11 12:53
1605099234,90,2020/11/11 12:53
1605099237,90,2020/11/11 12:53
1605099240,90,2020/11/11 12:54
1605099243,90,2020/11/11 12:54
1605099245,89,2020/11/11 12:54
1605099248,89,2020/11/11 12:54
1605099251,89,2020/11/11 12:54
1605099254,89,2020/11/11 12:54
1605099257,89,2020/11/11 12:54
1605099260,89,2020/11/11 12:54
1605099262,88,2020/11/11 12:54
1605099265,88,2020/11/11 12:54
1605099266,88,2020/11/11 12:54
1605099267,89,2020/11/11 12:54
1605099270,89,2020/11/11 12:54
1605099273,89,2020/11/11 12:54
1605099274,90,2020/11/11 12:54
1605099277,90,2020/11/11 12:54
1605099278,91,2020/11/11 12:54
1605099279,91,2020/11/11 12:54
1605099280,92,2020/11/11 12:54
1605099281,91,2020/11/11 12:54
1605099283,90,2020/11/11 12:54
1605099285,89,2020/11/11 12:54
1605099286,88,2020/11/11 12:54
1605099288,87,2020/11/11 12:54
1605099289,87,2020/11/11 12:54
1605099290,86,2020/11/11 12:54
1605099291,85,2020/11/11 12:54
1605099294,85,2020/11/11 12:54
1605099297,85,2020/11/11 12:54
1605099300,85,2020/11/11 12:55
1605099303,85,2020/11/11 12:55
1605099306,85,2020/11/11 12:55
1605099308,84,2020/11/11 12:55
1605099309,85,2020/11/11 12:55
1605099310,86,2020/11/11 12:55
1605099313,86,2020/11/11 12:55
1605099316,86,2020/11/11 12:55
1605099317,86,2020/11/11 12:55
1605099319,87,2020/11/11 12:55
1605099320,87,2020/11/11 12:55
1605099322,88,2020/11/11 12:55
1605099325,88,2020/11/11 12:55
1605099328,88,2020/11/11 12:55
1605099329,88,2020/11/11 12:55
1605099332,88,2020/11/11 12:55
1605099335,88,2020/11/11 12:55
1605099336,88,2020/11/11 12:55
1605099339,88,2020/11/11 12:55
1605099342,88,2020/11/11 12:55
1605099345,89,2020/11/11 12:55
1605099347,88,2020/11/11 12:55
1605099350,88,2020/11/11 12:55
1605099353,88,2020/11/11 12:55
1605099354,88,2020/11/11 12:55
1605099357,88,2020/11/11 12:55
1605099358,89,2020/11/11 12:55
